"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","Adriatic_Sea","Aegean_Sea","Alboran_Sea","Ionian_Sea","Levantine_Sea","Western_Mediterranean"
"Ceratoscopelus maderensis","species","Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus","Ceratoscopelus","Myctophidae",376,11867,2775,5720,4902,41445
"Chauliodus sloani","species","Chauliodus sloani","Chauliodus sloani","Chauliodus","Chauliodus","Stomiidae",0,0,0,0,0,91
"Cheilodipterus","genus",NA,NA,"Cheilodipterus","Cheilodipterus","Apogonidae",0,0,0,0,78,0
"Cheilodipterus novemstriatus","species","Cheilodipterus novemstriatus","Cheilodipterus novemstriatus","Cheilodipterus","Cheilodipterus","Apogonidae",0,0,0,0,1425,0
"Chelon","genus",NA,NA,"Chelon","Chelon","Mugilidae",0,0,0,140,0,7891
"Chelon auratus","species","Chelon auratus","Chelon auratus","Chelon","Chelon","Mugilidae",45,165,1314,3076,449,101563
"Chelon labrosus","species","Chelon labrosus","Chelon labrosus","Chelon","Chelon","Mugilidae",50,384,0,1332,171,309005
"Chelon ramada","species","Chelon ramada","Chelon ramada","Chelon","Chelon","Mugilidae",0,0,16,0,231,80106
"Chlorophthalmus agassizi","species","Chlorophthalmus agassizi","Chlorophthalmus agassizi","Chlorophthalmus","Chlorophthalmus","Chlorophthalmidae",0,36,0,0,13,1346
"Chromis","genus",NA,NA,"Chromis","Chromis","Pomacentridae",687,800,0,15389,0,463053
"Chromis chromis","species","Chromis chromis","Chromis chromis","Chromis","Chromis","Pomacentridae",197056,173893,432,1313393,32819,13932483
"Citharus linguatula","species","Citharus linguatula","Citharus linguatula","Citharus","Citharus","Citharidae",0,0,0,0,0,1925
"Clupea","genus",NA,NA,"Clupea","Clupea","Clupeidae",0,0,0,12452,0,191
"Coelorinchus","genus",NA,NA,"Coelorinchus","Coelorinchus","Macrouridae",0,0,556,0,0,0
"Congridae","family",NA,NA,NA,NA,"Congridae",39,62,546,156204,0,69730
"Corcyrogobius liechtensteini","species","Corcyrogobius liechtensteini","Corcyrogobius liechtensteini","Corcyrogobius","Corcyrogobius","Gobiidae",0,0,0,1817,0,2154
"Coris","genus",NA,NA,"Coris","Coris","Labridae",0,539,0,4913,997,27512
"Coris julis","species","Coris julis","Coris julis","Coris","Coris","Labridae",6760,2738,0,158263,9287,1053619
"Coryphaena hippurus","species","Coryphaena hippurus","Coryphaena hippurus","Coryphaena","Coryphaena","Coryphaenidae",0,0,0,243,0,291
"Crystallogobius linearis","species","Crystallogobius linearis","Crystallogobius linearis","Crystallogobius","Crystallogobius","Gobiidae",0,106,121,55697,0,203366
"Ctenogobius boleosoma","species","Ctenogobius boleosoma","Ctenogobius boleosoma","Ctenogobius","Ctenogobius","Gobiidae",0,0,0,19,0,0
"Cyclothone","genus",NA,NA,"Cyclothone","Cyclothone","Gonostomatidae",0,140,0,452,0,1066
"Cyclothone braueri","species","Cyclothone braueri","Cyclothone braueri","Cyclothone","Cyclothone","Gonostomatidae",0,1029,0,1821,0,14611
"Dactylopterus volitans","species","Dactylopterus volitans","Dactylopterus volitans","Dactylopterus","Dactylopterus","Dactylopteridae",0,0,0,4155,0,35
"Dalophis imberbis","species","Dalophis imberbis","Dalophis imberbis","Dalophis","Dalophis","Ophichthidae",0,0,0,0,0,253
"Dasyatidae","family",NA,NA,NA,NA,"Dasyatidae",0,0,0,0,0,5984
"Dasyatis","genus",NA,NA,"Dasyatis","Dasyatis","Dasyatidae",0,0,0,0,0,174
"Dasyatis marmorata","species","Dasyatis marmorata","Dasyatis marmorata","Dasyatis","Dasyatis","Dasyatidae",0,0,0,0,4368,0
"Dasyatis pastinaca","species","Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis","Dasyatis","Dasyatidae",0,0,0,172,465,12518
"Dasyatis tortonesei","species","Dasyatis tortonesei","Dasyatis tortonesei","Dasyatis","Dasyatis","Dasyatidae",0,0,0,33,41,9913
"Decapterus","genus",NA,NA,"Decapterus","Decapterus","Carangidae",0,0,0,0,455,0
"Deltentosteus","genus",NA,NA,"Deltentosteus","Deltentosteus","Gobiidae",0,0,0,0,0,11248
"Deltentosteus collonianus","species","Deltentosteus collonianus","Deltentosteus collonianus","Deltentosteus","Deltentosteus","Gobiidae",0,0,0,0,0,4262
"Dentex","genus",NA,NA,"Dentex","Dentex","Sparidae",0,0,0,0,378,0
"Diaphus","genus",NA,NA,"Diaphus","Diaphus","Myctophidae",0,0,0,0,739,0
"Diaphus holti","species","Diaphus holti","Diaphus holti","Diaphus","Diaphus","Myctophidae",0,0,0,0,0,1668
"Diaphus rafinesquii","species","Diaphus rafinesquii","Diaphus rafinesquii","Diaphus","Diaphus","Myctophidae",0,87,0,95,6514,0
"Dicentrarchus","genus",NA,NA,"Dicentrarchus","Dicentrarchus","Moronidae",0,0,0,0,2502,1958
"Dicentrarchus labrax","species","Dicentrarchus labrax","Dicentrarchus labrax","Dicentrarchus","Dicentrarchus","Moronidae",271,88,58298,18439,288501,647114
